source,reference
RH98,"L. Richard and H. C. Helgeson, GCA 62, 3591-3636, 1998"
RHF79,"R. A. Robie, B. S. Hemingway and J. R. Fisher, USGS Bull. 1452, 1979"
Ric01,"L. Richard, GCA 65, 3827-3877, 2001"
Ric08,"L. Richard, pers. comm., 2008"
SAJ00,"R. E. Stoffregen, C. N. Alpers and J. L. Jambor, RiMG 40, 453-479, 2000"
SH88,"E. L. Shock and H. C. Helgeson, GCA 52, 2009-2036, 1988"
SH90,"E. L. Shock and H. C. Helgeson, GCA 54, 915-945, 1990"
Sho92,"E. L. Shock, GCA 56, 3481-3491, 1992"
Sho93,"E. L. Shock, GCA 57, 3341-3349, 1993"
Sho95,"E. L. Shock, AJS 295, 496-580, 1995"
SHS89,"E. L. Shock, H. C. Helgeson and D. A. Sverjensky, GCA 53, 2157-2183, 1989"
SK93,"E. L. Shock and C. M. Koretsky, GCA 57, 4899-4922, 1993"
SK95,"E. L. Shock and C. M. Koretsky, GCA 59, 1497-1532, 1995"
SKR+05,"J. Singh, D. Kumar et al., Appl. Environ. Microbiol., 71, 8752-8763, 2005"
SLOP98,"slop98.dat computer data file, http://geopig.asu.edu, 1998"
SM93,"E. L. Shock and W. B. McKinnon, Icarus 106, 464-477, 1993"
SMM+04,"C. Schuller, Y. M. Mamnun et al., Mol. Biol. Cell, 15, 706-720, 2004"
SNR+06,"N. F. W. Saunders, C. Ng et al., J. Proteome Res., 5, 2457-2464, 2006"
SR04,"M. D. Schulte and K. L. Rogers, GCA 68, 1087-1097, 2004"
SRB+02,"R. Serrano, A. Ruiz et al., Mol. Microbiol., 46, 1319-1333, 2002"
SS93,"M. D. Schulte and E. L. Shock, GCA 57, 3835-3846, 1993"
SS93B,"P. J. Saccocia and W. E. Seyfried, Am. Mineral 78, 607-611, 1993"
SS98,"D. C. Sassani and E. L. Shock, GCA 62, 2643-2671, 1998"
SSB97,"E. L. Shock, D. C. Sassani and H. Betz, GCA 61, 4245-4266, 1997"
SSH97,"D. A. Sverjensky, E. L. Shock and H. C. Helgeson, GCA 61, 1359-1412, 1997"
SSW+97,"E. L. Shock, D. C. Sassani et al., GCA 61, 907-950, 1997"
SSW01,"M. D. Schulte, E. L. Shock and R. H. Wood, GCA 65, 3919-3930, 2001"
Ste01,"A. Stefansson, CG 172, 225-250, 2001"
TBD+05,"S. L. Tai, V. M. Boer et al., J. Biol. Chem. 280, 437-447, 2005"
TBZ+06,"B. R. Tagirov, N. N. Baranova et al., GCA 70, 3689-3701, 2006"
TDW+07,"S. L. Tai, P. Daran-Lapujade et al., Mol. Biol. Cell. 18, 5100-5112, 2007"
TS01,"B. Tagirov and J. Schott, GCA 65, 3965-3992, 2001"
TSD97,"Y. Tardy, R. Schaul, J. Duplay, C. R. Acad. Sci. Paris 324, 969-976, 1997"
TWS+06,"E. T. Hayes, J. C. Wilks et al., BMC Microbiol., 6, 89, 2006"
TZA97,"B. R. Tagirov, A. V. Zotov and N. N. Akinfiev, GCA 61, 4267-4280, 1997"
TZS+07,"B. Tagirov, A. Zotov et al., GCA 71, 1689-1708, 2007"
WEP+82,"D. D. Wagman, W. H. Evans et al., JPCRD 11, 1-392, 1982"
WP02,"W. Wagner and A. Pruss, JPCRD 31, 387-355, 2002"
ZKO06,"A. V. Zotov, L. A. Koroleva and E. G. Osadchii, GI 44, 384-394, 2006"
ZSA03,"A. V. Zotov, N. D. Shikina and N. N. Akinfiev, GCA 67, 1821-1836, 2003"
