yORF,"gene name","GFP tagged?","GFP visualized?",abundance,ambiguous,mitochondrion,vacuole,"spindle pole","cell periphery","punctate composite","vacuolar membrane",ER,"nuclear periphery",endosome,"bud neck",microtubule,Golgi,"late Golgi",peroxisome,actin,nucleolus,cytoplasm,"ER to Golgi","early Golgi","lipid particle",nucleus,bud
YAL055W,PEX22,tagged,visualized,259,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAL056W,GPB2,tagged,visualized,"low signal",F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL058W,CNE1,tagged,visualized,4760,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAL059W,ECM1,tagged,visualized,2840,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YAL060W,BDH1,tagged,visualized,8730,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL061W,,tagged,visualized,3090,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YAR002C-A,ERP1,tagged,visualized,20700,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAR002W,NUP60,tagged,visualized,4590,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAR003W,SWD1,tagged,visualized,907,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YAR007C,RFA1,tagged,visualized,4100,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YAR009C,,tagged,visualized,2220,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAR014C,BUD14,tagged,visualized,538,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YAR015W,ADE1,tagged,visualized,4280,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YAR019C,CDC15,tagged,visualized,238,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAR027W,UIP3,tagged,visualized,1690,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAR028W,,tagged,visualized,1840,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAR044W,OSH1,tagged,visualized,846,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAR071W,PHO11,tagged,visualized,1460,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL001C,ECM15,tagged,visualized,1900,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL002W,HTB2,tagged,visualized,443000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBL003C,HTA2,tagged,visualized,32100,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBL004W,UTP20,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,F,F
YBL005W,PDR3,tagged,visualized,166,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL007C,SLA1,tagged,visualized,952,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,T,F,F,F,F,F
YBL008W,HIR1,tagged,visualized,846,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL010C,,tagged,visualized,1320,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F
YBL011W,SCT1,tagged,visualized,1050,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL013W,FMT1,tagged,visualized,1070,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL014C,RRN6,tagged,visualized,237,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,F,F
YBL015W,ACH1,tagged,visualized,4890,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL016W,FUS3,tagged,visualized,8480,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL017C,PEP1,tagged,visualized,7210,F,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL018C,POP8,tagged,visualized,4870,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBL019W,APN2,tagged,visualized,414,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL021C,HAP3,tagged,visualized,2510,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL022C,PIM1,tagged,visualized,14500,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL023C,MCM2,tagged,visualized,1690,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL024W,NCL1,tagged,visualized,16100,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBL025W,RRN10,tagged,visualized,"low signal",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F
YBL026W,LSM2,tagged,visualized,2210,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL027W,RPL19B,tagged,visualized,225000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL028C,,tagged,visualized,6210,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F
YBL029C-A,,tagged,visualized,996,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL029W,,tagged,visualized,"low signal",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL031W,SHE1,tagged,visualized,264,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F
YBL032W,HEK2,tagged,visualized,15600,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL033C,RIB1,tagged,visualized,9520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL034C,STU1,tagged,visualized,521,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL035C,POL12,tagged,visualized,11200,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBL036C,,tagged,visualized,4890,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL037W,APL3,tagged,visualized,1590,F,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
YBL038W,MRPL16,tagged,visualized,2880,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL039C,URA7,tagged,visualized,57600,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL040C,ERD2,tagged,visualized,"low signal",F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL042C,FUI1,tagged,visualized,"low signal",F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T
YBL045C,COR1,tagged,visualized,19300,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL046W,,tagged,visualized,1010,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBL047C,EDE1,tagged,visualized,1380,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL051C,PIN4,tagged,visualized,4630,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL052C,SAS3,tagged,visualized,"low signal",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBL054W,,tagged,visualized,830,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL055C,,tagged,visualized,1460,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL056W,PTC3,tagged,visualized,19700,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL057C,PTH2,tagged,visualized,2190,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL058W,SHP1,tagged,visualized,3200,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL059C-A,,tagged,visualized,279,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL059W,,tagged,visualized,623,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL060W,,tagged,visualized,"low signal",F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,F,F
YBL061C,SKT5,tagged,visualized,2580,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,T,F
YBL063W,KIP1,tagged,visualized,56.9,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F
YBL064C,PRX1,tagged,visualized,4510,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL067C,UBP13,tagged,visualized,125,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL068W,PRS4,tagged,visualized,5280,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL069W,AST1,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL071W-A,KTI11,tagged,visualized,8400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL072C,RPS8A,tagged,visualized,15900,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL074C,AAR2,tagged,visualized,7330,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL075C,SSA3,tagged,visualized,6440,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL076C,ILS1,tagged,visualized,23300,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL079W,NUP170,tagged,visualized,1560,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL080C,PET112,tagged,visualized,1390,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL082C,RHK1,tagged,visualized,"technical problem",F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL084C,CDC27,tagged,visualized,593,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL085W,BOI1,tagged,visualized,1040,F,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,F,T
YBL086C,,tagged,visualized,396,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL087C,RPL23A,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBL090W,MRP21,tagged,visualized,1270,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL091C,MAP2,tagged,visualized,1080,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL093C,ROX3,tagged,visualized,6120,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBL095W,,tagged,visualized,704,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL097W,BRN1,tagged,visualized,704,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBL098W,BNA4,tagged,visualized,556,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL099W,ATP1,tagged,visualized,41500,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBL101C,ECM21,tagged,visualized,799,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL102W,SFT2,tagged,visualized,279,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F
YBL103C,RTG3,tagged,visualized,1050,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBL104C,,tagged,visualized,184,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL105C,PKC1,tagged,visualized,"not visualized",T,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,F,T
YBL107C,,tagged,visualized,768,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBL111C,,tagged,visualized,279,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR001C,NTH2,tagged,visualized,2500,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR002C,RER2,tagged,visualized,8970,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR003W,COQ1,tagged,visualized,1560,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR005W,,tagged,visualized,"not visualized",T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR006W,UGA2,tagged,visualized,"low signal",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR007C,,tagged,visualized,377,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR008C,FLR1,tagged,visualized,"not visualized",F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR009C,HHF1,tagged,visualized,524000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBR010W,HHT1,tagged,visualized,213000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBR011C,IPP1,tagged,visualized,68400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR014C,,tagged,visualized,"not visualized",F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR015C,MNN2,tagged,visualized,6730,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
YBR016W,,tagged,visualized,1760,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR017C,KAP104,tagged,visualized,2130,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR023C,CHS3,tagged,visualized,1510,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F
YBR025C,,tagged,visualized,36800,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR026C,ETR1,tagged,visualized,1560,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR028C,,tagged,visualized,1470,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR030W,,tagged,visualized,7880,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBR031W,RPL4A,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR034C,HMT1,tagged,visualized,37600,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR036C,CSG2,tagged,visualized,"technical problem",F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR037C,SCO1,tagged,visualized,2550,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR039W,ATP3,tagged,visualized,28100,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR041W,FAT1,tagged,visualized,16900,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F
YBR042C,,tagged,visualized,2010,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F
YBR043C,AQR2,tagged,visualized,279,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR046C,ZTA1,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR047W,,tagged,visualized,2160,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR048W,RPS11B,tagged,visualized,1200,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR049C,REB1,tagged,visualized,7510,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBR052C,,tagged,visualized,7060,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR054W,YRO2,tagged,visualized,1950,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T
YBR055C,PRP6,tagged,visualized,2250,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR056W,,tagged,visualized,1960,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR057C,MUM2,tagged,visualized,3400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR058C,UBP14,tagged,visualized,3040,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR058C-A,TSC3,tagged,visualized,"not visualized",F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR059C,AKL1,tagged,visualized,3000,F,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,F,F
YBR060C,ORC2,tagged,visualized,1700,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR061C,TRM7,tagged,visualized,4110,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR065C,ECM2,tagged,visualized,4260,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBR066C,NRG2,tagged,visualized,704,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR067C,TIP1,tagged,visualized,35600,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR068C,BAP2,tagged,visualized,8660,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR069C,TAT1,tagged,visualized,504,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T
YBR070C,,tagged,visualized,339,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR071W,,tagged,visualized,1200,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR072W,HSP26,tagged,visualized,19300,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR073W,RDH54,tagged,visualized,1270,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBR077C,,tagged,visualized,3490,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR079C,RPG1,tagged,visualized,52700,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR080C,SEC18,tagged,visualized,5920,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F
YBR081C,SPT7,tagged,visualized,2360,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBR082C,UBC4,tagged,visualized,13500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR083W,TEC1,tagged,visualized,530,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR084C-A,RPL19A,tagged,visualized,97700,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YBR084W,MIS1,tagged,visualized,11400,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR085C-A,,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR085W,AAC3,tagged,visualized,1080,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR086C,IST2,tagged,visualized,"technical problem",F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR087W,RFC5,tagged,visualized,5040,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBR088C,POL30,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBR089C-A,NHP6B,tagged,visualized,4590,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YBR090C,,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YBR092C,PHO3,tagged,visualized,952,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YBR093C,PHO5,tagged,visualized,1110,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
