yORF,"gene name","GFP tagged?","GFP visualized?",abundance,ambiguous,mitochondrion,vacuole,"spindle pole","cell periphery","punctate composite","vacuolar membrane",ER,"nuclear periphery",endosome,"bud neck",microtubule,Golgi,"late Golgi",peroxisome,actin,nucleolus,cytoplasm,"ER to Golgi","early Golgi","lipid particle",nucleus,bud
YAL001C,TFC3,tagged,visualized,125,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YAL002W,VPS8,tagged,visualized,736,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
YAL005C,SSA1,tagged,visualized,269000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL007C,ERP2,tagged,visualized,26300,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAL008W,FUN14,tagged,visualized,1920,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAL009W,SPO7,tagged,visualized,861,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YAL010C,MDM10,tagged,visualized,768,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAL011W,SWC1,tagged,visualized,1380,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YAL012W,CYS3,tagged,visualized,38300,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL014C,SYN8,tagged,visualized,"not visualized",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YAL015C,NTG1,tagged,visualized,"technical problem",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YAL016W,TPD3,tagged,visualized,16900,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YAL017W,PSK1,tagged,visualized,967,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL019W,FUN30,tagged,visualized,6800,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YAL021C,CCR4,tagged,visualized,2780,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL023C,PMT2,tagged,visualized,6510,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAL024C,LTE1,tagged,visualized,304,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL026C,DRS2,tagged,visualized,606,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,T,F,F,F
YAL027W,,tagged,visualized,1170,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YAL029C,MYO4,tagged,visualized,2210,T,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,F,T
YAL031C,FUN21,tagged,visualized,227,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL032C,PRP45,tagged,visualized,1670,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YAL033W,POP5,tagged,visualized,2230,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YAL034W-A,MTW1,tagged,visualized,2610,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAL035W,FUN12,tagged,visualized,13400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL036C,FUN11,tagged,visualized,11700,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL038W,CDC19,tagged,visualized,291000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL039C,CYC3,tagged,visualized,3870,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAL041W,CDC24,tagged,visualized,1010,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
YAL043C,PTA1,tagged,visualized,3730,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
YAL044C,GCV3,tagged,visualized,3510,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAL047C,SPC72,tagged,visualized,639,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YAL049C,,tagged,visualized,1800,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F
YAL053W,,tagged,visualized,414,T,F,F,F,T,T,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,T
YAL054C,ACS1,tagged,visualized,2890,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F
